HiddenUnits,MSE,Index
20,0.0065889221246375,124
20,0.0097603095181557,125
20,0.0092055670077531,126
20,0.0043911631733044,127
20,0.0037038013075503,128
20,0.0070287493367144,129
20,0.0065447269505459,130
20,0.0025369697110351,131
20,0.0040436707154514,132
20,0.0091464114817878,133
20,0.007201283561646,134
20,0.0037363929724054,135
20,0.0038063286423374,136
20,0.0068955725618157,137
20,0.0040571608848223,138
20,0.0026250559569617,139
20,0.0034716989725274,140
20,0.0067049959406794,141
20,0.0055684275957011,142
20,0.004521598373283,143
20,0.0044727296184351,144
20,0.0051969815740752,145
20,0.0037770447972889,146
20,0.0023454459617435,147
20,0.002489801013402,148
20,0.0067290246585497,149
20,0.0059358852093415,150
20,0.0029305600931347,151
20,0.0036410177415531,152
20,0.0080781506551104,153
20,0.006582514438143,154
20,0.0024801410528629,155
20,0.0031989385789621,156
20,0.0071427987253822,157
20,0.0065574883419502,158
20,0.0025850408526557,159
20,0.0024964250737554,160
20,0.0044772813047387,161
20,0.0029963909556764,162
20,0.0032579185119472,163
20,0.0030480255141175,164
20,0.0051480134753948,165
20,0.0042030046882517,166
20,0.0028331854484652,167
20,0.0029641052369983,168
20,0.0067992963319019,169
20,0.005683881619298,170
20,0.0033977444114266,171
20,0.0034381072604024,172
20,0.0056960342466248,173
20,0.0058309975082732,174
20,0.0028170988290108,175
20,0.0038286419384776,176
20,0.0076035983583764,177
20,0.0064242759792404,178
20,0.0037708877730575,179
20,0.0043323205205879,180
20,0.0067317262435855,181
20,0.0046323462022592,182
20,0.0030541588757024,183
20,0.0036437888231614,184
20,0.0046548022122,185
20,0.004318377161539,186
20,0.0027889862265633,187
20,0.0028824727098703,188
20,0.0063985938088197,189
20,0.0058259818742809,190
20,0.0027215429187601,191
20,0.0028244101167069,192
20,0.0046800683155273,193
20,0.0040797782329586,194
20,0.0022255484659052,195
20,0.002337828528959,196
20,0.0048840252804239,197
20,0.0037589030259772,198
20,0.003231731260877,199
20,0.0035390275335382,200
20,0.0054247080628722,201
20,0.0044032980050517,202
20,0.0032162656414022,203
20,0.0031792699033267,204
20,0.0043660559288267,205
20,0.0034742395467547,206
20,0.0028628579229487,207
20,0.0025653189097819,208
20,0.0035671309303309,209
20,0.0032834150696737,210
20,0.0024611913978741,211
20,0.0030188230064143,212
20,0.0059573772370678,213
20,0.0045234900930665,214
20,0.0029969607763175,215
20,0.0029583037365557,216
20,0.0064644708867673,217
20,0.0047028845615777,218
20,0.0026131225673092,219
20,0.0024530882283402,220
20,0.0038499132762346,221
20,0.0024461014195818,222
20,0.0027341463132979,223
20,0.0024979154129858,224
20,0.0041397485129086,225
20,0.0036961180845086,226
20,0.0027355888492934,227
20,0.00279329195888,228
20,0.0047513699383215,229
20,0.0043451873701654,230
20,0.0028014053613996,231
20,0.0031538247429377,232
20,0.0054044383851074,233
20,0.0054277393472522,234
20,0.0032553639134201,235
20,0.0037097137559335,236
20,0.0075455985055439,237
20,0.0062897467446177,238
20,0.0034173132682664,239
20,0.0037557864686444,240
20,0.0067988647765688,241
