ValidMSE,LearningRate,HiddenUnits,MaxEpoch,ExampleSize,DomainLambda,TrainMSE,ValidDomainloss,TrainDomainloss
0.011286499687421,1,4,100,553,10,0.00072747194803836,5.5908117132571,5.5908114723093
0.011252042137884,1,4,100,559,10,0.0007524763882553,19.653843125504,19.653842928128
0.011236935639674,1,4,100,565,10,0.00076345715354122,23.699963290232,23.699965089616
0.01131163603145,1,4,100,571,10,0.00077907032601156,27.63102105358,27.631021053734
0.011061055250391,1,4,100,577,10,0.00079383781569194,27.631021115928,27.631021115928
0.011022467056264,1,4,100,583,10,0.00080452160028612,27.631021115928,27.631021115928
0.010949287754059,1,4,100,589,10,0.00082121250283008,27.631021115928,27.631021115928
0.011031758940115,1,4,100,595,10,0.00084213095421639,27.631019298499,27.631019299929
0.010902217516316,1,4,100,601,10,0.00085256810293008,27.631021115928,27.631021115928
0.011019036060965,1,4,100,607,10,0.00086714888932266,27.631021115928,27.631021115928
0.010970984812775,1,4,100,613,10,0.00087881071809605,14.274840005386,14.274794764763
0.010721789407076,1,4,100,619,10,0.00088141792563981,27.631021115928,27.631021115928
0.010535386961187,1,4,100,625,10,0.00088493081527771,27.631021115928,27.631021115928
0.010587872657957,1,4,100,631,10,0.00088598484228989,27.6310210541,27.631021054253
0.0107790882028,1,4,100,637,10,0.00089099942538249,27.631021115928,27.631021115928
0.010563541374898,1,4,100,643,10,0.00089270042944676,27.631021115928,27.631021115928
0.010965668199965,1,4,100,649,10,0.00089721785908953,27.631021115928,27.631021115928
0.0109781430041,1,4,100,650,10,0.00089888491959241,27.631021115928,27.631021115928
0.01083147258889,1,4,100,701,10,0.00093183958688882,27.631021115928,27.631021115928
0.010785950382212,1,4,100,752,10,0.001009529294921,27.627474698228,27.627474698229
0.010585641240982,1,4,100,803,10,0.0010636873303748,27.631021115928,27.631021115928
0.010837717483979,1,4,100,854,10,0.0011582966377589,27.631021115928,27.631021115928
0.011281451201,1,4,100,905,10,0.0012293451014611,27.631020991646,27.631020991842
0.011080477951085,1,4,100,956,10,0.0012671776201877,27.496941514094,27.496946869994
0.011636742818663,1,4,100,1007,10,0.0012775263255319,27.631021115928,27.631021115928
0.011342178825694,1,4,100,1058,10,0.0012853731144573,27.631021115928,27.631021115928
0.011218612189591,1,4,100,1109,10,0.0012817579893779,27.63095417691,27.631020114936
0.011484511397136,1,4,100,1160,10,0.0013312336932057,27.631021115928,27.631021115928
0.011573856682016,1,4,100,1211,10,0.0013778243404656,27.631021115928,27.631021115928
0.011831130272502,1,4,100,1262,10,0.0013960614522591,27.631021115928,27.631021115928
0.011430234321696,1,4,100,1313,10,0.0014096588967048,27.631021115928,27.631021115928
0.0115288184833,1,4,100,1364,10,0.0014540032454571,27.631021115928,27.631021115928
0.011667193170666,1,4,100,1415,10,0.0014550186174049,21.308972997731,21.308988135091
0.011072980384674,1,4,100,1466,10,0.0014350754264426,27.631021115928,27.631021115928
0.011386336449045,1,4,100,1517,10,0.001471087800285,27.631021115928,27.631021115928
0.011615180735026,1,4,100,1568,10,0.0013989721582397,27.631021115928,27.631018850418
0.011495300477557,1,4,100,1619,10,0.0014904387797807,19.129409799458,19.129404217369
0.011292340567962,1,4,100,1670,10,0.0014950384596767,27.631021115928,27.631021115928
0.011192566830878,1,4,100,1721,10,0.0015127725456161,27.631021115928,27.631021115928
0.011258201575247,1,4,100,1772,10,0.001550787066176,12.85860540645,12.858605551935
0.011444476492167,1,4,100,1823,10,0.0015714635296264,27.631021115928,27.631021115928
0.011003904003747,1,4,100,1874,10,0.0016011723341854,27.631021012933,27.631021013375
0.01125793306376,1,4,100,1925,10,0.0016268225698934,16.6564972088,16.65652172061
0.011115117773078,1,4,100,1976,10,0.0016426254956025,27.631021115928,27.631021115928
0.011325392451872,1,4,100,2027,10,0.0016794556661962,27.631021115928,27.631021115928
0.01125988487254,1,4,100,2078,10,0.0016934509047186,27.631021115928,27.631021115928
0.011172739371121,1,4,100,2129,10,0.0017053106604731,27.631021115928,27.631021115928
0.011158400069988,1,4,100,2180,10,0.0017121910865673,27.631021115928,27.631021115928
0.011149036089912,1,4,100,2231,10,0.0017349907254902,27.631021115928,27.631021115928
